Center,CAReportName,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Mo. Bdgt Var May 2025,Mo. Bdgt May 2025,YTD May 2025,YTD Bdgt May 2025,YTD May 2024
2003-001 St Thomas GI,6101-6001 GI revenue,-382820.18,-405785.94,-415439.08,-405289.95,-424240.25,-580835.48,167785.28,0.00,636424.53,-468639.25,-1658019.48,-2320024.61,-2322787.55
2003-001 St Thomas GI,6201-6001 Contract adj GI,244215.94,264166.65,270450.84,267843.76,271180.40,374123.90,0.00,0.00,-302154.58,302154.58,1183598.90,1495793.65,1515527.17
2003-001 St Thomas GI,6301-6001 Bad debt exp GI,1914.10,2028.93,2077.20,2026.45,6121.20,2904.18,0.00,0.00,5208.72,5208.72,13129.03,25785.37,11613.94
2003-001 St Thomas GI,7115-0000 Clinical salaries,39293.28,41697.81,37672.60,29769.35,36286.03,40191.71,19965.16,0.00,28376.53,48341.69,163884.85,224625.35,201503.65
2003-001 St Thomas GI,7116-0000 Clinical overtime,446.22,834.34,111.90,366.49,159.57,149.16,83.82,0.00,584.57,668.39,870.94,3368.08,2256.05
2003-001 St Thomas GI,7117-0000 Administrative support salaries,18049.39,17601.22,17907.43,16504.38,33790.67,41711.74,-35859.79,0.00,50606.99,14747.20,74054.43,72310.70,51278.22
2003-001 St Thomas GI,7129-0000 Accrued compensation,394.00,1566.00,0.00,984.00,492.00,492.00,492.00,0.00,-26.02,465.98,2460.00,2329.91,1970.00
2003-001 St Thomas GI,7141-0000 FICA,3384.25,4198.64,3591.68,2902.21,3402.07,3711.85,1696.71,0.00,2865.94,4562.65,15304.52,25001.73,17403.04
2003-001 St Thomas GI,7143-0000 Federal unemployment,18.82,171.08,231.27,96.82,55.50,45.13,37.54,0.00,56.48,94.02,466.26,509.94,514.14
2003-001 St Thomas GI,7145-0000 State unemployment,46.15,569.89,712.50,311.04,164.77,143.02,118.76,0.00,-24.74,94.02,1450.09,509.94,543.97
2003-001 St Thomas GI,7161-0000 Pension,202.54,169.37,751.68,711.86,803.53,889.45,427.12,0.00,-90.12,337.00,3583.64,1685.00,2893.53
2003-001 St Thomas GI,7163-0000 Employee insurance,7299.04,4340.44,5267.21,5963.10,5387.47,5225.51,-396.00,0.00,4508.72,4112.72,21447.29,20563.60,22362.35
2003-001 St Thomas GI,7165-0000 Workers compensation,793.14,396.58,396.57,396.57,396.57,396.57,396.57,0.00,45.26,441.83,1982.85,2209.14,2472.04
2003-001 St Thomas GI,7201-0000 Medical supplies actual,3430.76,11734.74,9994.36,8841.46,12263.67,9768.42,3725.44,0.00,3853.08,7578.52,44593.35,37770.64,65660.69
2003-001 St Thomas GI,7203-0000 Medical supplies accrual,683.00,-922.00,1943.00,-2698.00,-203.00,1688.00,-1957.00,0.00,1957.00,0.00,-1227.00,0.00,-1.00
2003-001 St Thomas GI,7205-0000 Prescription drugs actual,89.05,1166.78,1200.31,543.61,1291.33,760.72,640.71,0.00,529.93,1170.64,4436.68,5795.18,5965.44
2003-001 St Thomas GI,7207-0000 Prescription drugs accrual,1.00,385.00,-724.00,652.00,-671.00,704.00,-908.00,0.00,908.00,0.00,-947.00,0.00,-113.00
2003-001 St Thomas GI,7223-0000 Corporate rebate program,-217.86,-205.91,-186.79,-571.29,-50.45,-337.47,0.00,0.00,-210.69,-210.69,-1146.00,-1042.99,-1908.93
2003-001 St Thomas GI,7301-0000 Linen service,10422.01,11050.12,11338.64,9996.89,10593.61,9916.72,955.83,0.00,9214.16,10169.99,42801.69,50849.93,49907.93
2003-001 St Thomas GI,7303-0000 Cleaning service,500.00,500.00,1000.00,500.00,500.00,650.00,-500.00,0.00,1037.07,537.07,2150.00,2685.36,2500.00
2003-001 St Thomas GI,7305-0000 Medical waste,0.00,0.00,0.00,0.00,0.00,1254.96,-1254.96,0.00,1254.96,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,7309-0000 Billing service,5390.17,5562.22,4362.86,4878.51,5567.00,6004.37,0.00,0.00,6047.85,6047.85,20812.74,29941.71,31327.35
2003-001 St Thomas GI,7313-0000 Legal fees,0.00,0.00,40.00,0.00,356.87,0.00,0.00,0.00,0.00,0.00,396.87,0.00,0.00
2003-001 St Thomas GI,7319-0000 Consulting fees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,7323-0000 Contract services,7826.93,4465.65,6797.72,5717.44,-3200.02,1980.29,395.27,0.00,5860.84,6256.11,11690.70,31280.56,32951.21
2003-001 St Thomas GI,7327-0000 Uniform allowance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,7331-0000 GP travel,17.08,259.36,0.00,0.00,0.00,3.50,0.00,0.00,69.03,69.03,3.50,345.15,445.69
2003-001 St Thomas GI,7333-0000 LP travel,0.00,553.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,7337-0000 Business meals and entertainment,188.19,852.79,0.00,0.00,0.00,187.30,-166.04,0.00,196.99,30.95,21.26,154.73,181.42
2003-001 St Thomas GI,7338-0000 Facility food and beverage,193.97,112.58,54.48,313.93,172.12,321.68,-25.22,0.00,96.07,70.85,836.99,354.23,357.67
2003-001 St Thomas GI,7339-0000 Office supplies,403.74,861.78,1133.17,806.91,783.47,3619.99,-52.63,0.00,910.20,857.57,6290.91,4287.85,4668.09
2003-001 St Thomas GI,7341-0000 Postage,492.00,416.16,437.00,437.00,437.00,437.00,-6121.00,0.00,6692.14,571.14,-4373.00,2855.70,1951.89
2003-001 St Thomas GI,7343-0000 Express delivery,11.35,23.80,46.57,21.76,21.65,21.60,0.00,0.00,28.84,28.84,111.58,144.20,156.62
2003-001 St Thomas GI,7347-0000 Telephone,1109.32,1035.32,1377.57,1035.77,1493.93,1079.01,-6749.00,0.00,7792.27,1043.27,-1762.72,5216.35,4845.69
2003-001 St Thomas GI,7349-0000 Dues and subscriptions,0.00,382.18,0.00,0.00,0.00,0.00,0.00,0.00,17.08,17.08,0.00,85.40,0.00
2003-001 St Thomas GI,7351-0000 Meetings and conferences,1616.00,3171.73,0.00,0.00,0.00,0.00,0.00,0.00,558.50,558.50,0.00,2792.50,2393.00
2003-001 St Thomas GI,7353-0000 Maintenance scopes,2502.30,2502.30,2502.30,2502.30,2502.30,2502.30,0.00,0.00,2528.92,2528.92,10009.20,12644.62,11414.00
2003-001 St Thomas GI,7355-0000 Maintenance other,1973.45,1304.29,1686.67,958.33,2032.63,537.15,0.00,0.00,1380.56,1380.56,5214.78,6902.80,5813.35
2003-001 St Thomas GI,7356-0000 Software maintenance contracts,2438.85,2322.98,2636.94,2536.87,2540.06,2648.07,3105.60,0.00,537.73,3643.33,13467.54,18216.65,12242.90
2003-001 St Thomas GI,7357-0000 Advertising,478.71,473.25,510.00,436.50,-586.50,1680.00,510.00,0.00,255.35,765.35,2550.00,3826.75,3486.97
2003-001 St Thomas GI,7363-0000 Employee recruiting cost,2187.62,1180.86,712.52,0.00,395.54,1527.90,-1506.55,0.00,2234.87,728.32,1129.41,3641.60,595.50
2003-001 St Thomas GI,7369-0000 Other operating expense,1240.51,1081.07,1147.02,946.14,1261.63,1314.39,0.00,0.00,1334.80,1334.80,4669.18,6674.00,6874.65
2003-001 St Thomas GI,7370-0000 Minor equipment expense,0.00,0.00,741.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,741.81,0.00,0.00
2003-001 St Thomas GI,7371-0000 Accreditation fee,161.95,161.95,161.95,161.95,161.95,161.95,161.95,0.00,0.00,161.95,809.75,809.75,1481.70
2003-001 St Thomas GI,7412-0000 Rent equipment,690.23,744.99,751.98,718.67,719.20,1155.11,-2773.64,0.00,3325.79,552.15,571.32,2760.76,1312.53
2003-001 St Thomas GI,7416-0000 Lease level expense,8707.87,8840.17,8840.17,8840.17,8840.17,8840.17,0.00,0.00,8840.17,8840.17,35360.68,44200.85,44205.30
2003-001 St Thomas GI,7421-0000 Insurance malpractice,-318.15,1348.94,628.67,468.55,548.59,548.59,548.59,0.00,-103.97,444.62,2742.99,2223.09,2873.44
2003-001 St Thomas GI,7422-0000 Insurance other,2694.23,881.54,292.43,292.41,292.41,292.41,292.41,0.00,408.35,700.76,1462.07,3503.82,2581.59
2003-001 St Thomas GI,7431-0000 Utilities,166.98,0.00,166.96,0.00,0.00,0.00,0.00,0.00,171.43,171.43,166.96,857.17,671.20
2003-001 St Thomas GI,7501-0000 Property tax,146.00,146.00,146.00,146.00,7.50,125.84,-135.42,0.00,296.07,160.65,289.92,803.25,730.00
2003-001 St Thomas GI,7505-0000 Franchise taxes,1178.93,4008.28,-1512.46,1194.93,1194.93,3848.92,1181.58,0.00,0.88,1182.46,5907.90,5912.30,5939.60
2003-001 St Thomas GI,7507-0000 Sales tax,0.00,0.00,625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,625.00,1458.00,1458.00
2003-001 St Thomas GI,7509-0000 Other taxes and licenses,0.00,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,298.76,298.76,2000.00,1493.81,507.33
2003-001 St Thomas GI,7655-0000 Depreciation moveable equipment,438.86,518.52,518.54,518.54,518.54,518.53,0.00,0.00,365.00,365.00,2074.15,1825.00,2194.25
2003-001 St Thomas GI,7912-7011 State income taxes - GP allocation,1500.34,1618.40,1410.09,2639.59,1507.51,3635.32,0.00,0.00,2257.20,2257.20,9192.51,11736.69,13087.56
2003-001 St Thomas GI,7912-7012 State income taxes - LP allocation,1441.50,1554.93,1354.79,2536.08,1448.40,3492.75,0.00,0.00,2168.68,2168.68,8832.02,11276.43,12574.31
2003-001 St Thomas GI,8102-0000 Interest income,-5.37,-50.12,-1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.05,0.00,-12.93
2003-001 St Thomas GI,8109-0000 Misc net revenues,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.10
2003-001 St Thomas GI,8143-0000 Misc other income,-27.66,-191.64,-253.03,-72.38,-90.01,-46.82,77.48,0.00,192.71,-115.23,-384.76,-576.15,0.00
2003-001 St Thomas GI,R101-6001 GI procedures,262.00,283.00,285.00,277.00,290.00,399.00,-115.00,0.00,-431.06,316.06,1136.00,1564.63,1605.00
2003-001 St Thomas GI,S005-0000 Working days in the month,19.00,20.00,22.00,20.00,21.00,22.00,0.00,0.00,0.00,0.00,85.00,0.00,108.00
2003-001 St Thomas GI,S101-0000 GI cases,189.00,198.00,209.00,216.00,223.00,292.00,-85.00,0.00,-331.92,246.92,855.00,1222.37,1253.00
2003-002 St Thomas Harding Rd GI,1111-1102 Depository - Refund disbursement,-3551.90,-3899.12,-5080.25,-794.00,-4166.06,-1251.40,0.00,0.00,0.00,0.00,-11291.71,0.00,-36068.36
2003-002 St Thomas Harding Rd GI,1111-1105 Depository - Non capitated collection,143085.18,160914.18,105065.64,152585.31,143979.69,142377.06,0.00,0.00,0.00,0.00,544007.70,0.00,664849.37
2003-002 St Thomas Harding Rd GI,6101-6001 GI revenue,-342822.95,-369962.31,-360909.60,-378483.78,-398787.74,-488785.00,68487.00,0.00,531909.66,-463422.66,-1558479.12,-2294181.35,-1883496.02
2003-002 St Thomas Harding Rd GI,6201-6001 Contract adj GI,217777.98,233255.73,232425.78,235743.55,255819.30,303777.54,0.00,0.00,-302527.08,302527.08,1027766.17,1497637.70,1237482.94
2003-002 St Thomas Harding Rd GI,6301-6001 Bad debt exp GI,4456.70,4809.51,4691.82,4920.29,20184.24,6354.21,0.00,0.00,8418.84,8418.84,36150.56,41676.84,15485.44
2003-002 St Thomas Harding Rd GI,7115-0000 Clinical salaries,22784.33,21315.22,27125.04,23560.46,23327.39,26583.28,12167.28,0.00,19071.15,31238.43,112763.45,145161.01,122480.61
2003-002 St Thomas Harding Rd GI,7116-0000 Clinical overtime,211.39,0.00,388.38,377.56,303.63,305.92,273.84,0.00,517.31,791.15,1649.33,3986.70,3104.69
2003-002 St Thomas Harding Rd GI,7117-0000 Administrative support salaries,6693.52,10165.74,10763.87,9515.51,26784.49,32600.89,-32123.44,0.00,41624.70,9501.26,47541.32,44762.18,34760.91
2003-002 St Thomas Harding Rd GI,7129-0000 Accrued compensation,215.00,-2365.00,215.00,215.00,215.00,215.00,215.00,0.00,0.00,215.00,1075.00,1075.00,1075.00
2003-002 St Thomas Harding Rd GI,7141-0000 FICA,2440.65,2040.85,2364.27,1978.76,1951.02,2286.14,1263.60,0.00,1755.84,3019.44,9843.79,16387.12,10544.47
2003-002 St Thomas Harding Rd GI,7143-0000 Federal unemployment,16.51,91.67,153.55,54.77,20.55,0.38,17.43,0.00,44.37,61.80,246.68,335.19,219.85
2003-002 St Thomas Harding Rd GI,7145-0000 State unemployment,43.08,310.04,500.03,143.35,62.53,1.22,55.19,0.00,6.61,61.80,762.32,335.19,194.86
2003-002 St Thomas Harding Rd GI,7161-0000 Pension,182.64,618.61,722.66,702.81,681.55,771.99,416.07,0.00,276.23,692.30,3295.08,3461.48,3259.92
2003-002 St Thomas Harding Rd GI,7163-0000 Employee insurance,3837.45,5565.43,6845.92,6864.54,2032.58,5179.82,-256.71,0.00,4471.48,4214.77,20666.15,21073.85,21566.66
2003-002 St Thomas Harding Rd GI,7165-0000 Workers compensation,619.23,309.57,309.63,309.62,309.62,309.62,309.62,0.00,-66.22,243.40,1548.11,1216.99,1261.12
2003-002 St Thomas Harding Rd GI,7201-0000 Medical supplies actual,10309.31,7473.67,12867.85,6872.76,14284.79,11487.28,2386.86,0.00,8673.05,11059.91,47899.54,55012.32,50864.62
2003-002 St Thomas Harding Rd GI,7203-0000 Medical supplies accrual,-951.00,-168.00,-1795.00,1324.00,-2519.00,2376.00,-2757.00,0.00,2757.00,0.00,-3371.00,0.00,-2425.00
2003-002 St Thomas Harding Rd GI,7205-0000 Prescription drugs actual,462.13,1167.96,615.67,735.36,1772.02,815.08,0.00,0.00,1364.12,1364.12,3938.13,6752.96,5529.53
2003-002 St Thomas Harding Rd GI,7207-0000 Prescription drugs accrual,298.00,-198.00,-100.00,25.00,96.00,-75.00,-46.00,0.00,46.00,0.00,-100.00,0.00,160.00
2003-002 St Thomas Harding Rd GI,7223-0000 Corporate rebate program,-305.60,-1378.79,-19.90,-277.39,-590.03,-21.30,0.00,0.00,-258.26,-258.26,-908.62,-1278.49,-1109.23
2003-002 St Thomas Harding Rd GI,7301-0000 Linen service,4096.68,4096.68,5120.85,4202.94,4290.44,4290.44,1072.61,0.00,3102.54,4175.15,18977.28,20875.76,20310.64
2003-002 St Thomas Harding Rd GI,7303-0000 Cleaning service,500.00,500.00,1000.00,500.00,500.00,650.00,0.00,0.00,515.00,515.00,2650.00,2575.00,2500.00
2003-002 St Thomas Harding Rd GI,7305-0000 Medical waste,0.00,255.41,255.41,510.82,0.00,255.41,0.00,0.00,227.28,227.28,1021.64,1136.42,1047.59
2003-002 St Thomas Harding Rd GI,7309-0000 Billing service,5196.66,5843.72,3817.16,5376.02,5143.92,5074.65,0.00,0.00,5717.88,5717.88,19411.75,28307.51,23500.85
2003-002 St Thomas Harding Rd GI,7323-0000 Contract services,5383.56,3091.20,3195.76,2900.36,-4947.59,1057.99,1126.77,0.00,2925.06,4051.83,3333.29,20259.15,19369.04
2003-002 St Thomas Harding Rd GI,7327-0000 Uniform allowance,0.00,0.00,487.38,0.00,0.00,0.00,0.00,0.00,66.75,66.75,487.38,333.73,453.61
2003-002 St Thomas Harding Rd GI,7331-0000 GP travel,17.09,259.39,0.00,0.00,0.00,3.50,0.00,0.00,67.06,67.06,3.50,335.31,432.31
2003-002 St Thomas Harding Rd GI,7333-0000 LP travel,0.00,276.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-002 St Thomas Harding Rd GI,7337-0000 Business meals and entertainment,51.15,2382.78,0.00,461.53,235.40,21.26,0.00,0.00,76.06,76.06,718.19,380.29,184.77
2003-002 St Thomas Harding Rd GI,7338-0000 Facility food and beverage,0.00,0.00,0.00,3.27,0.00,0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00
2003-002 St Thomas Harding Rd GI,7339-0000 Office supplies,1329.32,943.13,1318.55,1115.27,1330.63,1032.23,28.26,0.00,1235.50,1263.76,4824.94,6318.81,4923.92
2003-002 St Thomas Harding Rd GI,7341-0000 Postage,0.00,0.00,0.00,11.16,0.00,0.00,0.00,0.00,9.38,9.38,11.16,46.90,22.33
2003-002 St Thomas Harding Rd GI,7343-0000 Express delivery,11.35,23.80,52.15,26.18,59.00,21.60,0.00,0.00,28.02,28.02,158.93,140.10,187.37
2003-002 St Thomas Harding Rd GI,7347-0000 Telephone,547.88,547.88,622.88,547.88,547.88,547.88,0.00,0.00,580.02,580.02,2266.52,2900.10,2964.40
2003-002 St Thomas Harding Rd GI,7349-0000 Dues and subscriptions,0.00,382.17,0.00,0.00,0.00,0.00,0.00,0.00,79.68,79.68,0.00,398.40,240.00
2003-002 St Thomas Harding Rd GI,7351-0000 Meetings and conferences,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.10,28.10,0.00,140.50,337.20
2003-002 St Thomas Harding Rd GI,7353-0000 Maintenance scopes,3579.77,3579.77,2458.13,2458.13,2458.13,2469.38,0.00,0.00,3055.01,3055.01,9843.77,15275.04,18163.14
2003-002 St Thomas Harding Rd GI,7355-0000 Maintenance other,1552.40,1000.00,621.64,626.77,1126.77,1126.77,0.00,0.00,402.93,402.93,3501.95,2014.65,1893.60
2003-002 St Thomas Harding Rd GI,7356-0000 Software maintenance contracts,2880.86,2984.93,3191.69,3007.16,3007.16,3202.82,0.00,0.00,3708.33,3708.33,12408.83,18541.65,14995.25
2003-002 St Thomas Harding Rd GI,7357-0000 Advertising,337.05,331.59,120.00,543.18,-303.18,120.00,120.00,0.00,220.49,340.49,600.00,1702.44,1654.59
2003-002 St Thomas Harding Rd GI,7363-0000 Employee recruiting cost,586.93,833.86,323.98,0.00,395.55,1506.54,-1506.54,0.00,2019.52,512.98,719.53,2564.90,1637.45
2003-002 St Thomas Harding Rd GI,7369-0000 Other operating expense,1240.50,1087.17,1140.17,949.29,1250.83,1317.54,0.00,0.00,1048.61,1048.61,4657.83,5243.05,4865.26
2003-002 St Thomas Harding Rd GI,7370-0000 Minor equipment expense,0.00,0.00,0.00,0.00,0.00,846.38,0.00,0.00,0.00,0.00,846.38,0.00,0.00
2003-002 St Thomas Harding Rd GI,7371-0000 Accreditation fee,161.95,161.95,161.95,161.95,161.95,161.95,161.95,0.00,0.00,161.95,809.75,809.75,925.00
2003-002 St Thomas Harding Rd GI,7416-0000 Lease level expense,6544.73,6633.19,6633.19,6633.19,6633.19,6633.19,0.00,0.00,6633.19,6633.19,26532.76,33165.95,33169.30
2003-002 St Thomas Harding Rd GI,7421-0000 Insurance malpractice,-125.64,1138.63,463.69,463.67,463.67,463.67,463.67,0.00,-128.16,335.51,2318.37,1677.53,1768.76
2003-002 St Thomas Harding Rd GI,7422-0000 Insurance other,2175.47,888.05,255.70,255.70,255.70,255.70,255.70,0.00,380.24,635.94,1278.50,3179.70,2430.35
2003-002 St Thomas Harding Rd GI,7501-0000 Property tax,123.00,123.00,123.00,123.00,123.00,123.00,123.00,0.00,0.00,123.00,615.00,615.00,615.00
2003-002 St Thomas Harding Rd GI,7509-0000 Other taxes and licenses,0.00,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,200.57,200.57,2000.00,1002.86,0.00
2003-002 St Thomas Harding Rd GI,7654-0000 Depreciation leasehold improvements,557.79,557.78,557.78,557.78,557.78,557.78,0.00,0.00,558.00,558.00,2231.12,2790.00,2788.90
2003-002 St Thomas Harding Rd GI,7655-0000 Depreciation moveable equipment,1693.00,1692.88,1692.98,1692.96,1649.33,1649.29,0.00,0.00,1577.00,1577.00,6684.56,8261.00,9616.33
2003-002 St Thomas Harding Rd GI,7656-0000 Depreciation software,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.44
2003-002 St Thomas Harding Rd GI,8102-0000 Interest income,0.00,0.87,-2.48,-0.72,0.00,0.00,0.00,0.00,0.00,0.00,-3.20,0.00,-80.02
2003-002 St Thomas Harding Rd GI,8109-0000 Misc net revenues,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.55
2003-002 St Thomas Harding Rd GI,8143-0000 Misc other income,-17.74,-122.87,-162.21,-46.40,-57.71,-98.01,83.67,0.00,157.53,-73.86,-280.66,-369.30,0.00
2003-002 St Thomas Harding Rd GI,8221-8201 Miscellaneous other expense - Tax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-002 St Thomas Harding Rd GI,R101-6001 GI procedures,245.00,267.00,257.00,269.00,282.00,347.00,-49.00,0.00,-367.57,318.57,1106.00,1577.08,1316.00
2003-002 St Thomas Harding Rd GI,S005-0000 Working days in the month,19.00,20.00,22.00,20.00,21.00,22.00,0.00,0.00,0.00,0.00,85.00,0.00,108.00
2003-002 St Thomas Harding Rd GI,S101-0000 GI cases,181.00,192.00,189.00,194.00,220.00,258.00,-34.00,0.00,-284.85,250.85,827.00,1241.80,1018.00
2005-001 Beaumont GI,1111-1102 Depository - Refund disbursement,-35044.14,-40384.34,-21002.13,-32095.88,-29282.65,-31658.40,0.00,0.00,0.00,0.00,-114039.06,0.00,-235516.35
2005-001 Beaumont GI,1111-1105 Depository - Non capitated collection,596546.07,745366.56,570330.20,626026.73,639361.23,730725.52,0.00,0.00,0.00,0.00,2566443.68,0.00,3013984.92
2005-001 Beaumont GI,1111-1147 Depository - Grant collections,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2005-001 Beaumont GI,1131-1102 Disbursements - Refund disbursement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2005-001 Beaumont GI,5312-5303 GP capital current year - Distribution,155397.00,168657.00,202827.00,151980.00,149226.00,174828.00,214098.00,0.00,214098.00,0.00,892959.00,0.00,722466.00
2005-001 Beaumont GI,5322-5303 LP capital current year - Distribution,149303.00,162043.00,194873.00,146020.00,143374.00,167972.00,205702.00,0.00,205702.00,0.00,857941.00,0.00,694134.00
2005-001 Beaumont GI,6101-6001 GI revenue,-1786315.10,-1949276.92,-1685647.20,-1902133.22,-2119665.54,-2144365.48,444781.24,0.00,2388577.28,-1943796.04,-7407030.20,-9620785.58,-9275587.94
2005-001 Beaumont GI,6201-6001 Contract adj GI,1191831.12,1301015.54,1129383.62,1271429.26,1387175.91,1424724.87,0.00,0.00,-1309528.11,1309528.11,5212713.66,6482720.95,6329111.95
2005-001 Beaumont GI,6301-6001 Bad debt exp GI,12504.21,13644.94,11799.53,13314.93,74837.66,15010.56,0.00,0.00,12582.31,12582.31,114962.68,62287.78,66929.12
2005-001 Beaumont GI,7115-0000 Clinical salaries,80981.29,81526.03,82047.28,76955.62,82132.87,93631.29,46481.71,0.00,59063.44,105545.15,381248.77,490942.60,447380.80
2005-001 Beaumont GI,7116-0000 Clinical overtime,3415.49,2962.01,748.44,1198.19,3188.36,3481.30,2817.12,0.00,-1511.70,1305.42,11433.41,6578.14,7323.18
2005-001 Beaumont GI,7117-0000 Administrative support salaries,22458.95,22315.68,22092.77,21107.49,20733.75,21787.35,11936.32,0.00,14256.37,26192.69,97657.68,125601.69,153956.33
2005-001 Beaumont GI,7129-0000 Accrued compensation,2087.00,-2663.92,1933.00,3355.12,1933.33,1933.33,1933.33,0.00,136.67,2070.00,11088.11,10350.00,10506.08
2005-001 Beaumont GI,7141-0000 FICA,8940.59,7961.65,7816.49,7574.88,7878.80,8752.39,4533.43,0.00,4941.26,9474.69,36555.99,51413.43,44104.03
2005-001 Beaumont GI,7143-0000 Federal unemployment,21.49,336.11,509.85,286.55,128.73,114.67,93.37,0.00,100.15,193.52,1133.17,1049.56,1098.53
2005-001 Beaumont GI,7145-0000 State unemployment,8.94,144.13,245.08,134.75,470.17,242.72,135.63,0.00,57.89,193.52,1228.35,1049.56,754.21
2005-001 Beaumont GI,7161-0000 Pension,1672.70,2316.20,2031.04,1674.12,1849.47,1300.35,971.44,0.00,1346.99,2318.43,7826.42,11592.16,11572.77
2005-001 Beaumont GI,7163-0000 Employee insurance,9344.65,9692.11,7495.67,7917.82,8759.61,9254.24,-923.10,0.00,14119.10,13196.00,32504.24,65980.00,59106.08
2005-001 Beaumont GI,7165-0000 Workers compensation,1836.10,918.05,918.05,918.05,918.05,918.05,918.05,0.00,-119.40,798.65,4590.25,3993.27,4246.18
2005-001 Beaumont GI,7173-0000 Other employee benefits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
2005-001 Beaumont GI,7201-0000 Medical supplies actual,38623.15,44354.09,28354.83,43685.14,60957.88,41237.36,28056.81,0.00,14917.47,42974.28,202292.02,213645.62,207035.59
2005-001 Beaumont GI,7203-0000 Medical supplies accrual,30.00,-2454.00,10411.00,-8552.00,-1387.00,1158.00,-1854.00,0.00,1854.00,0.00,-224.00,0.00,-2392.00
2005-001 Beaumont GI,7205-0000 Prescription drugs actual,-1081.41,5610.18,5126.04,4074.53,3675.89,5767.64,2842.27,0.00,2755.74,5598.01,21486.37,27712.52,24587.55
2005-001 Beaumont GI,7207-0000 Prescription drugs accrual,0.00,0.00,0.00,691.00,382.00,-1023.00,-50.00,0.00,50.00,0.00,0.00,0.00,-750.00
2005-001 Beaumont GI,7223-0000 Corporate rebate program,-1789.68,-5654.58,-376.35,-1553.87,-3234.40,-513.02,0.00,0.00,-1886.64,-1886.64,-5677.64,-9339.66,-7603.28
2005-001 Beaumont GI,7301-0000 Linen service,6497.16,5170.00,5170.00,5311.66,5153.43,14243.19,4597.80,0.00,2336.64,6934.44,34476.08,34672.20,34068.68
2005-001 Beaumont GI,7303-0000 Cleaning service,3407.71,3407.71,3407.71,3407.71,3407.71,3578.33,3407.71,0.00,190.08,3597.79,17209.17,17988.95,21530.93
2005-001 Beaumont GI,7305-0000 Medical waste,589.72,565.86,613.44,518.28,613.58,518.14,0.00,0.00,641.25,641.25,2263.44,3206.27,3134.96
2005-001 Beaumont GI,7306-0000 Medical specialist fee,2004.00,2004.00,2004.00,-2004.00,2004.00,2004.00,-2004.00,0.00,3721.71,1717.71,2004.00,8588.57,8412.00
2005-001 Beaumont GI,7309-0000 Billing service,14620.23,20446.10,15696.36,17474.75,17916.01,20803.69,0.00,0.00,18650.57,18650.57,71890.81,92273.31,0.00
2005-001 Beaumont GI,7313-0000 Legal fees,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00
2005-001 Beaumont GI,7321-0000 Collection fees,0.00,61.20,0.00,0.00,0.00,793.79,0.00,0.00,192.80,192.80,793.79,964.00,765.21
2005-001 Beaumont GI,7323-0000 Contract services,3089.12,4595.83,2039.21,7536.32,8738.01,7001.62,1051.25,0.00,1275.77,2327.02,26366.41,11635.10,9484.21
2005-001 Beaumont GI,7327-0000 Uniform allowance,0.00,80.00,80.00,80.00,240.00,0.00,50.00,0.00,134.35,184.35,450.00,921.73,1252.84
2005-001 Beaumont GI,7331-0000 GP travel,0.00,127.66,0.00,0.00,1465.15,0.00,0.00,0.00,513.53,513.53,1465.15,2567.64,2722.42
2005-001 Beaumont GI,7337-0000 Business meals and entertainment,-300.02,575.20,42.44,307.50,141.54,523.76,-523.76,0.00,845.46,321.70,491.48,1608.50,1730.30
