Field,Excel Value,DataBase Value,Variance,Result,Issue,Sheet,Center,CAReport Name
Nov 2024,NULL,7857.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,7857.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
Nov 2024,0.28,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
Nov 2024,NULL,595710272.29,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,595710272.29,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
Nov 2024,NULL,141991010.34,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,141991010.34,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
Nov 2024,0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
Nov 2024,NULL,-26677105.29,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,-26677105.29,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
Nov 2024,-2340609.64,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
Nov 2024,NULL,-2340609.64,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,0.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
Nov 2024,2320173.4,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
Nov 2024,NULL,2320173.4,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,856.67,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
Nov 2024,140068413.16,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
Nov 2024,NULL,140068413.16,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,0.71,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
Nov 2024,-352632111.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
Nov 2024,NULL,-352632111.72,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
Nov 2024,NULL,-427042156.66,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,-427042156.66,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
Nov 2024,352468948.76,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
Nov 2024,NULL,352468948.76,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,-26641367.42,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,-26641367.42,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
Nov 2024,3022.26,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
Nov 2024,494148428.11,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
Nov 2024,NULL,494148428.11,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,139175706.75,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
Nov 2024,NULL,139175706.75,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,851.21,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
Nov 2024,-0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
Nov 2024,-2761797.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
Nov 2024,-3597849.02,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
Nov 2024,NULL,-3597849.02,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,598472069.29,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,598472069.29,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
Nov 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
Nov 2024,1.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total aging percentage
Nov 2024,0.76,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total allowance percentage
Nov 2024,117548.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total cases
Nov 2024,NULL,117548.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,159904.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total procedures
Nov 2024,NULL,159904.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,354789122.16,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total write-offs
Nov 2024,NULL,354789122.16,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,1592.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Units
Nov 2024,NULL,1592.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,3599.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Visits
Nov 2024,NULL,3599.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Write-off percentage
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Nov 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,280613841.23,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,280613841.23,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Dec 2024,0.5,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Dec 2024,NULL,140240685.54,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,140240685.54,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Dec 2024,0.25,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Dec 2024,NULL,84115949.63,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,84115949.63,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Dec 2024,0.15,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Dec 2024,NULL,45899133.04,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,45899133.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Dec 2024,0.08,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Dec 2024,NULL,28722340.43,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,28722340.43,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Dec 2024,0.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Dec 2024,NULL,7298.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,7298.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
Dec 2024,0.3,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
Dec 2024,NULL,554125011.52,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,554125011.52,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
Dec 2024,NULL,130037990.06,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,130037990.06,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
Dec 2024,0.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
Dec 2024,NULL,-26147997.63,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,-26147997.63,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
Dec 2024,-2094927.19,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
Dec 2024,NULL,-2094927.19,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,0.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
Dec 2024,2651233.74,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
Dec 2024,NULL,2651233.74,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,935.98,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
Dec 2024,154429455.84,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
Dec 2024,NULL,154429455.84,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,0.71,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
Dec 2024,-355950619.7,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
Dec 2024,NULL,-355950619.7,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
Dec 2024,NULL,-397939023.83,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,-397939023.83,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
Dec 2024,385003119.06,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
Dec 2024,NULL,385003119.06,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,-22733418.67,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,-22733418.67,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
Dec 2024,3032.82,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
Dec 2024,500393288.16,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
Dec 2024,NULL,500393288.16,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,142347741.27,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
Dec 2024,NULL,142347741.27,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,862.75,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
Dec 2024,-0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
Dec 2024,-2733519.68,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
Dec 2024,-4318301.38,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
Dec 2024,NULL,-4318301.38,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,556858531.2,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,556858531.2,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
Dec 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
Dec 2024,1.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total aging percentage
Dec 2024,0.77,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total allowance percentage
Dec 2024,118176.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total cases
Dec 2024,NULL,118176.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,161212.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total procedures
Dec 2024,NULL,161212.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,387654352.8,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total write-offs
Dec 2024,NULL,387654352.8,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,2035.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Units
Dec 2024,NULL,2035.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,3781.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Visits
Dec 2024,NULL,3781.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Write-off percentage
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Dec 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,357648230.2,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,357648230.2,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Jan 2025,0.58,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Jan 2025,NULL,144146364.47,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,144146364.47,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Jan 2025,0.23,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Jan 2025,NULL,67126475.34,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,67126475.34,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Jan 2025,0.11,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Jan 2025,NULL,41491912.65,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,41491912.65,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Jan 2025,0.07,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Jan 2025,NULL,31809157.73,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,31809157.73,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Jan 2025,0.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Jan 2025,NULL,8856.87,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,8856.87,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
Jan 2025,0.28,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
Jan 2025,NULL,614367156.96,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,614367156.96,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
Jan 2025,NULL,147409183.96,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,147409183.96,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
Jan 2025,0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
Jan 2025,NULL,-26638963.41,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,-26638963.41,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
Jan 2025,-2817159.59,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
Jan 2025,NULL,-2817159.59,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,0.01,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
Jan 2025,2259007.55,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
Jan 2025,NULL,2259007.55,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,756.49,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
Jan 2025,126780564.06,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
Jan 2025,NULL,126780564.06,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,0.71,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
Jan 2025,-361785300.28,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
Jan 2025,NULL,-361785300.28,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
Jan 2025,NULL,-440319009.59,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,-440319009.59,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
Jan 2025,322740981.96,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
Jan 2025,NULL,322740981.96,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,-23770443.02,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,-23770443.02,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
Jan 2025,3038.33,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
Jan 2025,509192942.82,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
Jan 2025,NULL,509192942.82,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,144590482.95,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
Jan 2025,NULL,144590482.95,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,862.76,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
Jan 2025,-0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
Jan 2025,-4084540.41,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
Jan 2025,-4200077.89,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
Jan 2025,NULL,-4200077.89,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,618451697.37,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,618451697.37,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
Jan 2025,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
Jan 2025,1.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total aging percentage
Jan 2025,0.76,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total allowance percentage
Jan 2025,118616.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total cases
Jan 2025,NULL,118616.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,163229.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total procedures
Jan 2025,NULL,163229.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,324999989.51,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total write-offs
Jan 2025,NULL,324999989.51,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,2433.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Units
Jan 2025,NULL,2433.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,4361.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Visits
Jan 2025,NULL,4361.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Write-off percentage
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Jan 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,325211654.55,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,325211654.55,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Feb 2025,0.56,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Feb 2025,NULL,143019758.79,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,143019758.79,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Feb 2025,0.24,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Feb 2025,NULL,78468177.66,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,78468177.66,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Feb 2025,0.13,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Feb 2025,NULL,33280316.3,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,33280316.3,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Feb 2025,0.06,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Feb 2025,NULL,29658042.51,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,29658042.51,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Feb 2025,0.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Feb 2025,NULL,8554.77,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,8554.77,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
Feb 2025,0.29,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
Feb 2025,NULL,581456789.38,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,581456789.38,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
Feb 2025,NULL,138772139.36,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,138772139.36,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
Feb 2025,0.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
Feb 2025,NULL,-26641014.13,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,-26641014.13,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
Feb 2025,-2327221.38,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
Feb 2025,NULL,-2327221.38,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,0.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
Feb 2025,2325170.66,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
Feb 2025,NULL,2325170.66,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,906.96,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
Feb 2025,146535136.86,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
Feb 2025,NULL,146535136.86,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,0.71,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
Feb 2025,-346562133.98,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
Feb 2025,NULL,-346562133.98,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
Feb 2025,NULL,-416043635.89,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,-416043635.89,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
Feb 2025,370779027.77,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
Feb 2025,NULL,370779027.77,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,-24021562.28,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,-24021562.28,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
Feb 2025,3013.73,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
Feb 2025,486922875.62,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
Feb 2025,NULL,486922875.62,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,138033520.26,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
Feb 2025,NULL,138033520.26,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,854.34,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
Feb 2025,-0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
Feb 2025,-4159598.15,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
Feb 2025,-4060296.37,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
Feb 2025,NULL,-4060296.37,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,NULL,585616387.53,,Missing in Excel,Missing in Excel,Facility,,
Feb 2025,585616387.53,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
Feb 2025,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
